donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Germany,Colombia,17458,Agricultural education/training
Germany,Colombia,36359,Advanced tech. & managerial training
Germany,Colombia,4488,Anti-corruption organisations and institutions
Germany,Colombia,4488,Anti-corruption organisations and institutions
Germany,Colombia,69630,Vocational training
Germany,Colombia,112388,Vocational training
Germany,Colombia,174015,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,7456,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,848,Education policy and administrative management
Germany,Colombia,85295,Vocational training
Germany,Colombia,29181,Education facilities and training
Germany,Colombia,9903,Radio/television/print media
Germany,Colombia,159536,"Civilian peace-building, conflict prevention and resolution"
Germany,Colombia,3576,Education facilities and training
Germany,Colombia,3219,Education facilities and training
Germany,Colombia,38128,Human rights
Germany,Colombia,3093,Higher education
Germany,Colombia,175429,Agricultural development
Germany,Colombia,282951,Agricultural land resources
Italy,Colombia,18374,Vocational training
United Kingdom,South Africa,15665,Post-conflict peace-building (UN)
Canada,Brazil,45306,Agricultural development
Canada,Brazil,60663,Rural development
Canada,Brazil,48545,"Civilian peace-building, conflict prevention and resolution"
Italy,Colombia,84805,Social/ welfare services
Canada,Colombia,538077,Material relief assistance and services
Canada,Colombia,1614,Education policy & admin. management
United Kingdom,India,144997,Energy policy and admin. management
Italy,India,27702,Basic life skills for youth and adults
Germany,India,11437,Democratic participation and civil society
United Kingdom,India,90998,Public sector financial management
Germany,India,11771,Higher education
Italy,India,169610,Health education
Germany,India,26040,Multisector education/training
Italy,India,84805,Health education
Germany,India,48988,Social/ welfare services
Germany,India,4274295,Education policy and administrative management
Germany,India,3241,Financial policy & admin. management
Germany,India,10632,Multisector aid
United Kingdom,Thailand,6124,Strengthening civil society
Germany,India,18834,Multisector aid
Germany,India,140993,Agricultural research
Germany,India,301343,Multisector aid
Germany,India,20691,Multisector aid
Germany,India,70737677,Power generation/non-renewable sources
Germany,India,303945,Education facilities and training
Germany,India,90587,Strengthening civil society
Germany,India,14148,Agricultural water resources
Germany,India,161282,"Civilian peace-building, conflict prevention and resolution"
Germany,India,130157,Social/ welfare services
Germany,India,14147535,Infectious & Parasitic disease control
Germany,India,87715,Strengthening civil society
Germany,India,406034,Strengthening civil society
Germany,India,73567,Strengthening civil society
Germany,India,728598,Strengthening civil society
Germany,India,535881,Education facilities and training
Germany,India,80304,Higher education
Germany,India,70738,Strengthening civil society
Germany,India,141475,Agricultural development
Germany,India,106107,Health education
Germany,India,1131803,Agricultural development
Germany,India,5970,Higher education
Germany,India,952339,Environmental policy and admin. mgmt
Germany,India,340372,Research/scientific institutions
Germany,India,12979,Financial policy & admin. management
Germany,India,12996,Financial policy & admin. management
Germany,India,35650,Financial policy & admin. management
Germany,India,229922,Financial policy & admin. management
Germany,India,158798,Energy education/training
Germany,India,3241,Financial policy & admin. management
Germany,India,3241,Financial policy & admin. management
Germany,India,12962,Financial policy & admin. management
Germany,India,3241,Financial policy & admin. management
Germany,India,227068,Vocational training
Germany,India,1697704,Financial policy and administrative management
Germany,India,2179,Basic health care
Germany,India,39656,Basic health care
Germany,India,2122,Education facilities and training
Germany,India,84885,Basic health care
Germany,India,141475,Basic health care
Germany,India,73567,Basic health care
Germany,India,176844,Basic health care
Germany,India,205139,Basic health care
Germany,India,233434,Strengthening civil society
Germany,India,20848,Multisector aid
Germany,India,1018623,Strengthening civil society
Germany,India,80641,Strengthening civil society
Germany,India,5659,Promotion of development awareness
Germany,India,399,Higher education
Germany,India,213628,Strengthening civil society
Germany,India,11672,Vocational training
Germany,India,13958,Sme development
Germany,India,9903,Education and training in water supply and sanitation
Germany,India,6935,Higher education
Germany,India,48679,Sectors not specified
Germany,India,145720,Advanced technical and managerial training
Germany,India,19976,Higher education
Germany,India,113180,Strengthening civil society
Germany,India,13958,Business support services & institutions
Germany,India,94788,Strengthening civil society
Germany,India,647957,Strengthening civil society
Germany,India,837,Education facilities and training
Germany,India,78266,Multisector aid
Germany,India,212213,Higher education
Germany,India,139278,Government administration
Germany,India,37491,Site preservation
Germany,India,11672,Social/ welfare services
Germany,India,9903,Higher education
Germany,India,24051,Higher education
Germany,India,385070,Research/scientific institutions
Germany,India,2830,Higher education
Germany,India,99032748,Electrical transmission/ distribution
Germany,India,4244,Higher education
Germany,India,15449,Vocational training
Germany,India,10610652,Environmental policy and administrative management
Germany,India,2348491,Energy education/training
Germany,India,45060,Informal/semi-formal financial intermediaries
Germany,India,2876146,Power generation/renewable sources
Germany,India,40704,Bio-diversity
Germany,India,212213,Strengthening civil society
Germany,India,34147,Advanced tech. & managerial training
Germany,India,76397,Strengthening civil society
Germany,India,169834,Vocational training
Germany,India,1910,Vocational training
Germany,India,102655,Vocational training
Germany,India,120254,"Civilian peace-building, conflict prevention and resolution"
Germany,India,295720,Basic health care
Germany,India,76397,Strengthening civil society
Germany,India,27791,Higher education
Germany,India,3855,Higher education
Germany,India,4952,Higher education
Germany,India,37933024,Higher education
Germany,India,233434,Strengthening civil society
Germany,India,190780,Strengthening civil society
Germany,India,14148,Social/ welfare services
Germany,India,166941,Strengthening civil society
Germany,India,1362074,Food aid/Food security programmes
Germany,India,278706,Agricultural development
Germany,India,2400914,Informal/semi-formal financial intermediaries
Germany,India,785482,Support to national NGOs
Germany,India,63444,Education facilities and training
Germany,India,5107,Higher education
Germany,Thailand,30453,Multisector aid
Germany,India,85098,Education facilities and training
Germany,India,22155,Multisector aid
Germany,India,1556229,Rural development
Germany,India,70738,Reconstruction relief and rehabilitation
Germany,India,2604,Advanced tech. & managerial training
Germany,India,14148,Advanced tech. & managerial training
Germany,India,82441,Formal sector financial intermediaries
Germany,India,99033,Agricultural water resources
Germany,India,295683,Rural development
Germany,India,601270,Agricultural water resources
Germany,India,1273,Higher education
Germany,India,567033,Primary education
Germany,India,118839,Advanced technical and managerial training
Germany,India,94788,Advanced technical and managerial training
Germany,India,71193,Higher education
Germany,India,1910,Secondary education
Germany,India,50351,Radio/television/print media
Germany,India,137231,Basic life skills for youth and adults
Germany,India,53053,Basic health infrastructure
Germany,India,6932292,Power generation/renewable sources
Germany,India,375046,Advanced technical and managerial training
